,xfix,yfix,fixdur,fixnum,t0,t1,s0,s1,item,phase,xfix_raw,yfix_raw
70115,597.951360663507,240.446822748815,187.13409274999998,1,2.2407249999999998e-05,0.1871565,1,211,6352,Target,597.951360663507,240.446822748815
70116,372.99316525423797,342.431292372881,102.641,2,0.224731,0.327372,253,370,6352,Target,372.99316525423797,342.431292372881
70117,343.771177245509,470.43665389221496,147.0389,3,0.3572973,0.5043362,404,570,6352,Target,343.771177245509,470.43665389221496
70118,338.514308154507,497.676332188841,205.82319999999999,4,0.5252861999999999,0.7311094,594,826,6352,Target,338.514308154507,497.676332188841
70119,341.317093670886,351.670170886076,209.5251,5,0.7582063,0.9677314,857,1093,6352,Target,341.317093670886,351.670170886076
70120,364.591715454545,503.446617272727,96.9490000000002,6,1.003707,1.1006559999999999,1134,1243,6352,Target,364.591715454545,503.446617272727
70121,453.85649034482697,413.87778551724097,156.7509293,1,0.0005677707,0.1573187,1,145,6352,Prob,453.85649034482697,413.87778551724097
70122,297.86918,328.17954,4.4167,2,0.19509089999999998,0.1995076,180,184,6352,Prob,297.86918,328.17954
70123,297.294297029702,326.441228052805,335.8994,3,0.203726,0.5396254,187,489,6352,Prob,297.294297029702,326.441228052805
70124,353.193617289719,495.92111028037397,232.45170000000005,4,0.579665,0.8121166999999999,526,739,6352,Prob,353.193617289719,495.92111028037397
70125,315.289705940594,317.840077227723,110.79039999999999,5,0.8423111999999999,0.9531016,767,867,6352,Prob,315.289705940594,317.840077227723
70126,646.503169387755,221.90544489795897,134.93213135,1,2.2768649999999998e-05,0.1349549,1,147,6353,Target,646.503169387755,221.90544489795897
70127,334.625838666667,359.776369066666,332.8825,2,0.175976,0.5088585,192,566,6353,Target,334.625838666667,359.776369066666
70128,351.84399455128096,419.08979358974403,569.5381,3,0.5309159000000001,1.100454,591,1214,6353,Target,351.84399455128096,419.08979358974403
70129,520.4383910958901,288.391468493151,157.899528,1,0.001009772,0.15890929999999998,1,146,6353,Prob,520.4383910958901,288.391468493151
70130,374.348778441128,351.519427694859,685.6574,2,0.1877984,0.8734558000000001,173,775,6353,Prob,374.348778441128,351.519427694859
70131,208.49140731707402,342.224640243903,146.50440852999998,1,2.3491469999999998e-05,0.1465279,1,164,6354,Target,208.49140731707402,342.224640243903
70132,349.13765750000005,336.9965305,177.51749999999998,2,0.1759883,0.3535058,197,396,6354,Target,349.13765750000005,336.9965305
70133,342.457865502184,362.11068340611297,202.50839999999997,3,0.37299570000000004,0.5755041,418,646,6354,Target,342.457865502184,362.11068340611297
70134,344.142565045046,483.84367171171095,489.7139,4,0.6108241,1.100538,685,1239,6354,Target,344.142565045046,483.84367171171095
70135,474.095071724139,349.89785172413804,155.089918,1,0.000812082,0.15590199999999999,1,145,6354,Prob,474.095071724139,349.89785172413804
70136,303.225589787234,291.29201063829896,253.56839999999997,2,0.1878562,0.4414246,174,408,6354,Prob,303.225589787234,291.29201063829896
70137,340.23005650406503,461.464654065041,268.18190000000004,3,0.47895740000000003,0.7471393,443,688,6354,Prob,340.23005650406503,461.464654065041
70138,292.771411764707,425.588433529412,151.0096,2,0.163136,0.31414559999999997,181,350,6355,Target,292.771411764707,425.588433529412
70139,383.580020408162,371.852188979591,216.14970000000002,3,0.3449874,0.5611371,385,629,6355,Target,383.580020408162,371.852188979591
70140,355.788617801046,495.601939616057,508.98969999999997,4,0.5910403000000001,1.1000299999999998,663,1235,6355,Target,355.788617801046,495.601939616057
70141,186.24259032258098,501.137337096774,145.4627741,1,0.0008182259,0.146281,1,124,6355,Prob,186.24259032258098,501.137337096774
70142,347.432035519125,445.92689016393405,418.5981,2,0.17949720000000002,0.5980953,154,519,6355,Prob,347.432035519125,445.92689016393405
70143,437.768658385094,321.73869440993695,174.0418,3,0.637437,0.8114788000000001,555,715,6355,Prob,437.768658385094,321.73869440993695
70144,392.21232121212097,502.356135757576,146.1552,2,0.15473399999999998,0.3008892,176,340,6356,Target,392.21232121212097,502.356135757576
70145,360.020447107438,383.27547024793404,212.90460000000002,3,0.3307288,0.5436333999999999,374,615,6356,Target,360.020447107438,383.27547024793404
70146,348.147311206896,504.33110747126403,326.0225,4,0.5696302,0.8956527,644,991,6356,Target,348.147311206896,504.33110747126403
70147,371.299293023256,518.643480465117,188.03370000000004,5,0.9122543,1.100288,1010,1224,6356,Target,371.299293023256,518.643480465117
70148,647.846574803149,356.14174724409503,137.792688,1,0.001302512,0.13909520000000003,1,127,6356,Prob,647.846574803149,356.14174724409503
70149,351.96223682719597,403.66780991501406,388.7859,2,0.1756179,0.5644038,161,513,6356,Prob,351.96223682719597,403.66780991501406
70150,345.924967777777,493.453529259259,297.4537,3,0.5890734999999999,0.8865271999999998,536,805,6356,Prob,345.924967777777,493.453529259259
70151,326.369674468085,277.085646808511,100.9237,4,0.9207203000000002,1.021644,836,929,6356,Prob,326.369674468085,277.085646808511
